country_iso3,country_name,year,armed_forces_pct_labour,armed_forces_total,arms_exports,arms_imports,milex_pct_gdp,milex_pct_gov_exp,milex_usd
CAN,Canada,2018,0.354959432892492,72400.0,115000000.0,160000000.0,1.32468109445935,3.2272093879268,22729327580.3404
CAN,Canada,2019,0.346349317049656,72000.0,211000000.0,174000000.0,1.27894141964114,3.10708681842914,22204408440.0904
CAN,Canada,2020,,,200000000.0,207000000.0,1.415055840779,2.46868659247346,22754847129.0082
USA,United States,2018,0.838097652444013,1379800.0,9895000000.0,380000000.0,3.31624880838269,9.36144408095522,682491400000.0
USA,United States,2019,0.834357063802756,1388000.0,10788000000.0,866000000.0,3.42708018052996,9.58764254119547,734344100000.0
USA,United States,2020,,,9372000000.0,687000000.0,3.74116009078512,7.92617655617091,778232200000.0
